"id_str","created_at","source","lang","place","geo","text","is_retweet","is_reply","hashtags","media","user_screen_name","user_time_zone","user_followers_count","user_location","user_statuses_count","user_friends_count","user_profile_background_color","user_created_at","user_is_verified"
"ID_747688639409324032","Tue Jun 28 07:10:37 +0000 2016","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","en","","","SYRACUSE NY Jun 27 Climate Report: High: 86 Low: 69 Precip: Trace Snow: 0.0  https://t.co/paedYX2qcS #WX",False,False,"wx","","WxBotUSA","Eastern Time (US & Canada)",610,"United States",1231296,419,"C0DEED","Thu Sep 05 16:36:40 +0000 2013",False
"ID_747700911590473729","Tue Jun 28 07:59:23 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @tveitdal: Climate change Australia: communities and councils fill void on zero emissions targets https://t.co/Vv5kosaXmB https://t.co/L…",True,False,"","photo","SKEIGECO","Pacific Time (US & Canada)",343,"Gold Coast",5765,612,"C0DEED","Sun Jul 28 02:06:50 +0000 2013",False
"ID_747730387619688448","Tue Jun 28 09:56:31 +0000 2016","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","en","","","You must BELIEVE or the theater falls apart. Newsflash actor boy, science never believes anything https://t.co/1BErpnCdGJ",False,False,"","","klaatu","Central Time (US & Canada)",1507,"Surfin' With The Alien",112204,663,"9BE5E9","Sun Apr 01 08:14:57 +0000 2007",False
"ID_747746248820678656","Tue Jun 28 10:59:32 +0000 2016","<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","en","","","RT @CleanOEnergy: ICYMI: Mayors from 7,100+ cities are joining forces to fight #climatechange locally. https://t.co/gXVR1oBPKm https://t.co…",True,False,"climatechange","photo","CoolMomentum","Pacific Time (US & Canada)",7007,"Global",2006,6047,"000000","Sat Jan 30 22:35:09 +0000 2016",False
"ID_747752908188356609","Tue Jun 28 11:26:00 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","@pzmyers wot no ice age? Oh right, so many climate deniers think history started 6K years ago.",False,True,"","","TheCorrection","Arizona",209,"My Own Time Zone",10609,385,"330066","Thu Mar 03 20:45:43 +0000 2011",False
"ID_747860333826543616","Tue Jun 28 18:32:52 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @insideclimate: Science Organizations Again Urge Congress to Take Climate Change Seriously https://t.co/XdSsr6yTD8",True,False,"","","NickySundt","Eastern Time (US & Canada)",211,"Washington, DC",3612,252,"C0DEED","Thu Feb 13 21:10:25 +0000 2014",False
"ID_747878707935780864","Tue Jun 28 19:45:53 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @JaredWyand: 🚨 BREAKING: 2 Explosions rock #Ataturk Airport in #IstanbulPolice: Early evidence points towards climate change https://t…",True,False,"ataturk|istanbul","photo|photo","ancabundaru","Bucharest",9366,"Europe",29416,218,"000000","Tue Apr 07 11:54:48 +0000 2009",False
"ID_747918494449172481","Tue Jun 28 22:23:59 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @ClimateCentral: “The U.S. can't meet its Paris climate goals based solely on the Clean Power Plan and other policies now in place"" http…",True,False,"","","Tracia17","Central Time (US & Canada)",1036,"MEXICO",19876,1715,"C0DEED","Mon Oct 05 22:30:06 +0000 2009",False
"ID_747924568698916870","Tue Jun 28 22:48:07 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","Scoop w/ @eschor API is launching a task force to review its approach to climate amid infighting on carbon tax and attacks on Exxon",False,False,"","","AndrewRestuccia","Eastern Time (US & Canada)",12010,"Washington, DC",7009,1657,"022330","Sat Jul 10 22:40:04 +0000 2010",True
"ID_747968240622571520","Wed Jun 29 01:41:39 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @chrismurphys: Prime Minister is a weak man who surrendered his principles for power. Republic,Gay marriage,Climate,NBN. Spineless ain't…",True,False,"ausvotes","","G_times","Sydney",1018,"Sydney, Australia",48948,1006,"B2DFDA","Thu Jul 09 00:43:40 +0000 2009",False
"ID_747974322078154752","Wed Jun 29 02:05:49 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","RT @CA_Waterkeepers: Toxic algae is increasing nationally from #climatechange, #agpollution &amp; #stormwater runoff. https://t.co/CHyMbgwMTY h…",True,False,"agpollution|climatechange|stormwater","photo","microcarpa1","Tokyo",2809,"Planet Earth,Japan",21664,1292,"352726","Tue May 31 06:42:04 +0000 2011",False
"ID_747986632486305792","Wed Jun 29 02:54:44 +0000 2016","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","en","","","RT @sarahkendzior: Thoughtful thread https://t.co/rvMB5ic3fv",True,False,"","","jlevares","Atlantic Time (Canada)",477,"The Classic City",8460,445,"C0DEED","Sun Apr 07 01:09:29 +0000 2013",False
"ID_748003664179171328","Wed Jun 29 04:02:25 +0000 2016","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","en","","","RT Mike M: Blog: Democrats enshrine prosecution of climate change skeptics in platform https://t.co/XD1W3VhOvO https://t.co/wbx0ebAqLE",False,False,"","","ClimateRetweet","",2860,"",389280,3,"C0DEED","Wed May 20 10:47:00 +0000 2015",False
"ID_748005270085898240","Wed Jun 29 04:08:48 +0000 2016","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","en","","","#AfricaPlatform What Brexit might mean for climate, energy, pollution and yes, light bulbs - Treehugger https://t.co/30tPGtm166",False,False,"africaplatform","","BarakaErnest","",13,"Dar es Salaam, Tanzania",266,218,"000000","Tue Jul 31 12:53:12 +0000 2012",False
